y(px)	x(px)	width(px)	intensity(arb.unit)
1197.697	20.09091	5.7445626	0.31832412
1212.2188	19.875	5.656854	0.3178636
1226.375	19.84375	5.656854	0.32082197
1240.6666	19.5	5.477226	0.320428
1254.8695	19.782608	4.7958317	0.31696856
677.64703	19.529411	4.1231055	0.31729725
691.75	19.625	4.0	0.31539547
721.1111	19.833334	4.2426405	0.31655222
735.6316	19.789474	4.358899	0.3193617
765.0909	19.90909	4.690416	0.32018667
779.5	19.5	4.0	0.3157248
794.25	19.75	4.472136	0.32077655
808.5	19.777779	4.2426405	0.3236775
822.9091	20.09091	4.690416	0.32750216
837.6087	20.043478	4.7958317	0.3272333
852.0	20.173914	4.7958317	0.32384473
866.56	20.4	5.0	0.32318327
881.0	20.368422	4.358899	0.32296973
910.0909	20.09091	4.690416	0.33032
924.8261	20.0	4.7958317	0.33056703
939.0909	20.09091	4.690416	0.320214
954.0	20.5	5.0990195	0.3219794
968.5926	20.74074	5.196152	0.30660897
982.96	20.6	5.0	0.2820065
997.28125	20.8125	5.656854	0.29610556
1011.4194	20.548388	5.5677643	0.29205474
1025.8	20.666666	5.477226	0.29571956
1040.3667	20.633333	5.477226	0.29843864
1054.5	20.5	5.656854	0.30024707
1068.742	20.580645	5.5677643	0.30204228
1083.3667	20.633333	5.477226	0.30360255
1097.5	20.5	5.656854	0.2991096
1111.5807	20.451612	5.5677643	0.2998286
1126.3334	20.5	5.477226	0.29991823
1140.5	20.5	5.656854	0.30825815
1154.5	20.5	5.656854	0.3045846
1168.8966	20.310345	5.3851647	0.30502722
895.5	20.5	4.0	0.32079205
191.5	33.294117	5.8309517	0.3772433
221.09375	33.21875	5.656854	0.385398
235.71875	33.1875	5.656854	0.39043692
250.61765	33.14706	5.8309517	0.39177325
265.69696	33.090908	5.7445626	0.39299056
280.45456	33.21212	5.7445626	0.39039427
295.30304	33.090908	5.7445626	0.38627446
310.30304	33.090908	5.7445626	0.38541552
325.08823	33.02941	5.8309517	0.38903263
339.69696	33.090908	5.7445626	0.3854271
354.69696	33.090908	5.7445626	0.38169652
369.2647	33.0	5.8309517	0.38314465
384.0	33.0	5.7445626	0.38873324
398.7353	33.0	5.8309517	0.3838514
413.65625	33.0	5.656854	0.39140213
428.30304	33.090908	5.7445626	0.39256677
443.12122	33.121212	5.7445626	0.3977835
457.7353	33.0	5.8309517	0.38327506
472.69696	33.090908	5.7445626	0.38485906
487.51514	33.39394	5.7445626	0.38699102
502.5	33.294117	5.8309517	0.3888134
532.0	33.242424	5.7445626	0.39474353
13.5	33.5	5.656854	0.37856224
28.5	33.5	5.656854	0.37068203
43.0	33.5	5.8309517	0.3771227
57.5	33.5	5.656854	0.37684208
72.58064	33.451614	5.5677643	0.37886435
87.5	33.5	5.656854	0.36894897
102.5	33.5	5.656854	0.37417468
117.41936	33.451614	5.5677643	0.3781843
132.06061	33.424244	5.7445626	0.3813489
146.58064	33.548386	5.5677643	0.37960646
161.5	33.5	5.656854	0.3827085
176.5	33.5	5.656854	0.37950525
206.5	33.5	5.656854	0.37461972
517.29034	33.29032	5.5677643	0.39840642
546.70966	33.29032	5.5677643	0.37573326
561.125	33.333332	4.8989797	0.33937538
575.7778	33.5	4.2426405	0.32795882
590.2778	33.88889	4.2426405	0.32513455
604.86664	33.533333	3.8729835	0.31869343
619.5	33.77778	4.2426405	0.3215212
634.0909	33.909092	4.690416	0.32566005
648.619	34.0	4.582576	0.3220753
663.3684	33.789474	4.358899	0.31686878
678.0	34.0	4.582576	0.32207596
692.1579	34.157894	4.358899	0.3197259
706.9091	34.090908	4.690416	0.32730436
721.5	34.22222	4.2426405	0.32149854
735.9091	34.090908	4.690416	0.32277104
750.5	34.0	4.8989797	0.3241335
765.0833	34.083332	4.8989797	0.3256347
779.7	34.1	4.472136	0.32235458
794.1739	34.0	4.7958317	0.32851171
808.9091	34.090908	4.690416	0.3282753
823.125	34.666668	4.8989797	0.33118388
837.7407	34.555557	5.196152	0.3315704
852.125	34.666668	4.8989797	0.3298796
997.41174	35.32353	5.8309517	0.29884967
1011.625	35.15625	5.656854	0.29580593
1026.1936	35.225807	5.5677643	0.30009803
1040.4062	35.15625	5.656854	0.30014402
1054.6562	35.0	5.656854	0.30600256
1069.2188	34.9375	5.656854	0.30699348
1083.3438	35.0	5.656854	0.30959097
1097.6562	35.0	5.656854	0.3056943
1111.8064	34.774193	5.5677643	0.30488554
1126.4193	34.548386	5.5677643	0.3040977
1140.7188	34.8125	5.656854	0.31207636
1154.8064	34.774193	5.5677643	0.30807024
1169.2903	34.70968	5.5677643	0.3076712
1183.6666	34.5	5.477226	0.31273848
1198.0	34.5	5.477226	0.31630012
1212.5	34.5	5.656854	0.3149536
