y,x,A,a,b,c
116.89473684210526,4.578947368421052,0.5687372299171476,4.358898943540674,0.0,4.358898943540674
161.35294117647058,4.411764705882353,0.5914857537801893,4.123105625617661,0.0,4.123105625617661
176.11111111111111,4.277777777777778,0.578312348137766,4.242640687119285,0.0,4.242640687119285
191.0,4.352941176470588,0.5784772694898499,4.123105625617661,0.0,4.123105625617661
205.88888888888889,4.444444444444445,0.5732675998874643,4.242640687119285,0.0,4.242640687119285
220.66666666666666,4.333333333333333,0.5891787543681626,4.242640687119285,0.0,4.242640687119285
235.1578947368421,4.157894736842105,0.5962525152492636,4.358898943540674,0.0,4.358898943540674
250.27777777777777,4.111111111111111,0.6128139752664737,4.242640687119285,0.0,4.242640687119285
265.1578947368421,4.157894736842105,0.6108917324792115,4.358898943540674,0.0,4.358898943540674
280.1111111111111,4.277777777777778,0.5955536953936643,4.242640687119285,0.0,4.242640687119285
295.0,4.352941176470588,0.5996899100469755,4.123105625617661,0.0,4.123105625617661
309.6666666666667,4.333333333333333,0.591092849429552,4.242640687119285,0.0,4.242640687119285
324.5,4.222222222222222,0.5898843044526868,4.242640687119285,0.0,4.242640687119285
339.4117647058824,4.117647058823529,0.5941509872623827,4.123105625617661,0.0,4.123105625617661
354.1111111111111,4.277777777777778,0.5786519744332522,4.242640687119285,0.0,4.242640687119285
368.8421052631579,4.157894736842105,0.5888041759844188,4.358898943540674,0.0,4.358898943540674
383.5,4.222222222222222,0.6018003155200073,4.242640687119285,0.0,4.242640687119285
398.4117647058824,4.117647058823529,0.5888055494613792,4.123105625617661,0.0,4.123105625617661
413.1578947368421,4.157894736842105,0.6095505831035538,4.358898943540674,0.0,4.358898943540674
427.875,4.3125,0.6146540235030727,4.0,0.0,4.0
442.5,4.222222222222222,0.6019101549106799,4.242640687119285,0.0,4.242640687119285
457.5,4.222222222222222,0.577093693125178,4.242640687119285,0.0,4.242640687119285
472.4117647058824,4.117647058823529,0.5864479633747383,4.123105625617661,0.0,4.123105625617661
487.1111111111111,4.277777777777778,0.5935315526154724,4.242640687119285,0.0,4.242640687119285
502.0,4.352941176470588,0.6004062785518306,4.123105625617661,0.0,4.123105625617661
516.8888888888889,4.444444444444445,0.6073755995755052,4.242640687119285,0.0,4.242640687119285
12.842105263157896,4.842105263157895,0.575199261938458,4.358898943540674,0.0,4.358898943540674
27.88888888888889,4.722222222222222,0.5458530139286868,4.242640687119285,0.0,4.242640687119285
42.8421052631579,4.842105263157895,0.5703975409551916,4.358898943540674,0.0,4.358898943540674
57.588235294117645,4.882352941176471,0.5783991313787613,4.123105625617661,0.0,4.123105625617661
72.47058823529412,4.647058823529412,0.568541321008584,4.123105625617661,0.0,4.123105625617661
87.0,4.647058823529412,0.5506936808451507,4.123105625617661,0.0,4.123105625617661
102.0,4.647058823529412,0.57313537182323,4.123105625617661,0.0,4.123105625617661
131.88235294117646,4.588235294117647,0.5699707178992243,4.123105625617661,0.0,4.123105625617661
146.47058823529412,4.647058823529412,0.570343139771871,4.123105625617661,0.0,4.123105625617661
531.7368421052631,4.631578947368421,0.5774359968900161,4.358898943540674,0.0,4.358898943540674
546.5,4.777777777777778,0.553191028270964,4.242640687119285,0.0,4.242640687119285
561.0,4.647058823529412,0.48656863212488716,4.123105625617661,0.0,4.123105625617661
575.5,4.777777777777778,0.45517590370314137,4.242640687119285,0.0,4.242640687119285
589.8421052631579,4.842105263157895,0.45612954149629076,4.358898943540674,0.0,4.358898943540674
604.4117647058823,4.882352941176471,0.4432716109220089,4.123105625617661,0.0,4.123105625617661
619.1,4.95,0.4615289412235961,4.47213595499958,0.0,4.47213595499958
